Street,Sym_ul
Kazimierza Jagiellończyka,08259
Wyspa Bielarska,01246
Tęczowa,22777
Świętej Marii Magdaleny,12351
Henryka Sienkiewicza,19834
Kurkowa,10444
Żelazna,26433
Benedykta Polaka,16965
Poznańska,17394
Salezjańska,19433
Żabia Ścieżka,26369
Jana Henryka Pestalozziego,27748
Komandorska,09024
Krowia,09971
Mazowiecka,12540
Świętego Wincentego,24330
Psie Budy,18023
Ptasia,18056
Ratusz,18487
Jedności Narodowej,07435
Ukryta,23329
Generała Romualda Traugutta,22963
Grabarska,06006
Plac Dominikański,04103
Zygmunta Wróblewskiego,24840
Tadeusza Kościuszki,09582
Nabycińska,13722
Antoniego Cieszyńskiego,03064
Przejście Żelaźnicze,17704
Karola Marcinkowskiego,12299
Oławska,15031
Kazimierza Bartla,00792
Chemiczna,02712
Plac Biskupa Nankiera,31331
Miernicza,12806
Wyspa Słodowa,20226
Mariana Smoluchowskiego,20372
Elizy Orzeszkowej,15211
Międzyrzecka,12860
Plac Westerplatte,23895
Świdnicka,22461
Plac Polski,17032
Żytnia,26635
Norberta Barlickiego,00763
Piwna,16370
Aleksandra Hercena,06618
Śrutowa,22439
Uniwersytecka,23375
Kardynała Augusta Hlonda,06671
Kręta,09925
Bożego Ciała,01935
Plac Generała Józefa Bema,01013
Walońska,26979
Zygmunta Krasińskiego,09848
Białoskórnicza,01183
Wierzbowa,24170
Owsiana,15481
Wysoka,25067
Legnicka,10780
Generała Józefa Haukego-Bosaka,06554
Waleriana Łukasińskiego,11755
Jatki,07384
Szpitalna,22073
Braniborska,02036
Plac Grunwaldzki,06262
Stefana Jaracza,07240
Szybka,22207
Bolesława Drobnera,04194
Heleny Modrzejewskiej,13180
Ziemowita,26129
Generała Ignacego Prądzyńskiego,17474
Ruska,19119
Rakowiecka,18430
Wąska,23795
Wita Stwosza,21435
Księcia Witolda,10230
Kardynała Mieczysława Ledóchowskiego,10751
Malarska,12027
Więzienna,24229
Szczepińska,21829
Odrzańska,14770
Pawła Włodkowica,24516
Plac Jana Pawła II,07122
Jodłowa,07582
Grunwaldzka,06260
Kazimierza Wielkiego,08265
Wybrzeże Ludwika Pasteura,15779
Szewska,21947
Rzeźnicza,19366
Generała Kazimierza Pułaskiego,18095
Franciszka Ksawerego Druckiego-Lubeckiego,29472
Plac Nowy Targ,14536
Plac Maksa Borna,01840
Zachodnia,25305
Władysława Nehringa,14070
Prosta,17547
Jana Ewangelisty Purkyniego,18173
Plac Legionów,10768
Hugona Kołłątaja,09003
Mieszka I,12832
Romana Dmowskiego,03868
Stefana Żeromskiego,26469
Kanonia,07947
Grodzka,06163
Świebodzka,22472
Błogosławionej Edyty Stein,21129
Plac Teatralny,22725
Warzywnicza,23714
Świętego Mikołaja,12885
Świętokrzyska,22552
Czerwonego Krzyża,03434
Krupnicza,10035
Jana Mikulicza-Radeckiego,12908
Stanisława Leszczyńskiego,10878
Edwarda Suchardy,21494
Kazimierza Michalczyka,30002
Tytusa Chałubińskiego,02663
Zdrowa,25948
Jęczmienna,07563
Biskupia,01363
Teatralna,22723
Paulińska,15826
Grabiszyńska,06021
Łąkowa,11596
Ignacego Daszyńskiego,03639
Plac Kościelny,09552
Lubuska,11365
Bernardyńska,01087
Otwarta,15463
Skwierzyńska,20189
Nasypowa,14039
Młodych Techników,13090
Kruszwicka,10045
Sądowa,19581
Pochyła,16570
Ludwika Rydygiera,19216
Jacka Kaczmarskiego,37217
Składowa,20060
Oleśnicka,14975
Kaznodziejska,08272
Kluczborska,08587
Stanisława Worcella,24742
Joachima Lelewela,10793
Alfreda Nobla,14291
Stefana Czarnieckiego,03283
Świętej Elżbiety,04792
Na Niskich Łąkach,13632
Generała Józefa Bema,01014
Sopocka,20582
Henryka Brodatego,06600
Świętej Jadwigi,07014
Plac Katedralny,08203
Plac Orląt Lwowskich,15146
Oskara Minkowskiego,12983
Łazienna,11561
Plac Zgody,26025
Świętego Józefa,07626
Plac Generała Walerego Wróblewskiego,29469
Na Grobli,13600
Okólna,14890
Gabrieli Zapolskiej,25632
Na Szańcach,01014
Strażnicza,21275
Plac Muzealny,13519
Jana Kilińskiego,08435
Plac Solny,20544
Świętej Barbary,00729
Katedralna,08202
Mieszczańska,12825
Gwarna,06415
Bolesława Prusa,17577
Franciszkańska,05151
Plac Tadeusza Kościuszki,09580
Aleksandra Zelwerowicza,25996
Wybrzeże Juliusza Słowackiego,26978
Wojciecha Cybulskiego,03159
Krzywa,10157
Długa,03839
Piaskowa,16033
Lwowska,11467
Michała Bałuckiego,00661
Generała Jana Henryka Dąbrowskiego,03674
Kiełbaśnicza,08384
Rynek,19252
Plac Powstańców Warszawy,17371
Władysława Jagiełły,24494
Wybrzeże Stanisława Wyspiańskiego,25085
Czysta,03513
Trzebnicka,23073
Plac Świętego Krzysztofa,10156
Icchaka Lejba Pereca,15941
Szczęśliwa,21846
Księdza Wincentego Kraińskiego,09776
Rybacka,19142
Nauczycielska,14048
Świętego Marcina,12284
Piastowska,16046
Pomorska,17088
Dobra,03928
Aleja Jana Matejki,12486
Księcia Józefa Poniatowskiego,17113
Nowowiejska,14495
Muzealna,13518
Podwórcowa,16889
Nowa,14330
Mikołaja Sępa-Szarzyńskiego,19733
Zaułek Wolski,25801
Zygmunta Janiszewskiego,07170
Stanisława Więckowskiego,24227
Wojciecha Bogusławskiego,01608
Inowrocławska,06907
Plac Franciszkański,05152
Komuny Paryskiej,09101
Igielna,06856
Łęczycka,11607
Zaporoska,25637
Generała Karola Kniaziewicza,08662
Krawiecka,09894
Plac Wolności,24685
Michała Wrocławczyka,24805
Wilhelma Roentgena,18739
Świętej Katarzyny,08199
Świętego Idziego,06849
Bolesława Chrobrego,01742
Adama Mickiewicza,12740
Barycka,00836
Mennicza,12609
Ksawerego Liskego,29478
Plac Rozjezdny,18948
Świętego Antoniego,00351
Plac Konstytucji 3 Maja,09211
Ofiar Oświęcimskich,14797
Kaszubska,08183
Mikołaja Reja,18565
Nowy Świat,14535
Marii Curie-Skłodowskiej,03148
Plac Solidarności,20530
Łaciarska,11487
Zgodna,26023
Szczytnicka,21883
Podwale,16874
Juliana Ursyna Niemcewicza,14177
Józefa Rostafińskiego,18884
Ołbińska,15032
Stawowa,21101
Andrzeja Frycza-Modrzewskiego,05193
Środkowa,22419
Plac Uniwersytecki,23376
Ignacego Łukasiewicza,11749
Robotnicza,18695
Dobrzyńska,03995
Henryka Pobożnego,06602
Sukiennice,21539
Fryderyka Joliot-Curie,07591
Jana Żiżki,26472
Stanisława Dubois,04337
Władysława Łokietka,11653
Widok,24011
Świętej Doroty,04132
Kolejowa,08828
Benedyktyńska,01023
Karola Szajnochy,21728
Miła,12947
Eugeniusza Gepperta,05457
Sokolnicza,20491
Gdańska,05431
Plac Świętego Macieja,11834
Ścinawska,22302
Walecznych,23527
Ładna,11490
Księdza Piotra Skargi,20010
Marszałka Józefa Piłsudskiego,16274
Nożownicza,14540
Przejście Garncarskie,17703
Plac Icchaka Lejba Pereca,15940
Kotlarska,09613
Odona Bujwida,02385
Rozbrat,18932
Kuźnicza,10527
Trzemeska,23091
Kardynała Bolesława Kominka,09062
Henryka Probusa,06604
Wincentego Stysia,21486
Litomska,11225
Myśliwska,13563
Plac Strzelecki,21384
Swobodna,21625
Przeskok,17763
Drzewna,04308
Tadeusza Rejtana,18575
Iwana Pawłowa,15865
Franklina Delano Roosevelta,18857
Staromłyńska,20958
Generała Władysława Sikorskiego,19907
Kapitulna,07983
Wyspa Tamka,22623
Powstańców Śląskich,17366
Zyndrama z Maszkowic,26352
Pszenna,18049
Garbary,05321
Łukasza Górnickiego,05961
Tadeusza Zielińskiego,21625
Kardynała Stefana Wyszyńskiego,25107
Wszystkich Świętych,24895
Józefa Marii Hoene-Wrońskiego,06685
Kurzy Targ,10482
Cypriana Kamila Norwida,14319
Dworcowa,04434
Kazimierza Jagiellończyka,08259
Wyspa Bielarska,01246
Tęczowa,22777
Świętej Marii Magdaleny,12351
Henryka Sienkiewicza,19834
Kurkowa,10444
Żelazna,26433
Benedykta Polaka,16965
Poznańska,17394
Salezjańska,19433
Żabia Ścieżka,26369
Jana Henryka Pestalozziego,27748
Komandorska,09024
Krowia,09971
Mazowiecka,12540
Świętego Wincentego,24330
Psie Budy,18023
Ptasia,18056
Ratusz,18487
Jedności Narodowej,07435
Ukryta,23329
Generała Romualda Traugutta,22963
Grabarska,06006
Plac Dominikański,04103
Zygmunta Wróblewskiego,24840
Tadeusza Kościuszki,09582
Nabycińska,13722
Antoniego Cieszyńskiego,03064
Przejście Żelaźnicze,17704
Karola Marcinkowskiego,12299
Oławska,15031
Kazimierza Bartla,00792
Chemiczna,02712
Plac Biskupa Nankiera,31331
Miernicza,12806
Wyspa Słodowa,20226
Mariana Smoluchowskiego,20372
Elizy Orzeszkowej,15211
Międzyrzecka,12860
Plac Westerplatte,23895
Świdnicka,22461
Plac Polski,17032
Żytnia,26635
Norberta Barlickiego,00763
Piwna,16370
Aleksandra Hercena,06618
Śrutowa,22439
Uniwersytecka,23375
Kardynała Augusta Hlonda,06671
Kręta,09925
Bożego Ciała,01935
Plac Generała Józefa Bema,01013
Walońska,26979
Zygmunta Krasińskiego,09848
Białoskórnicza,01183
Wierzbowa,24170
Owsiana,15481
Wysoka,25067
Legnicka,10780
Generała Józefa Haukego-Bosaka,06554
Waleriana Łukasińskiego,11755
Jatki,07384
Szpitalna,22073
Braniborska,02036
Plac Grunwaldzki,06262
Stefana Jaracza,07240
Szybka,22207
Bolesława Drobnera,04194
Heleny Modrzejewskiej,13180
Ziemowita,26129
Generała Ignacego Prądzyńskiego,17474
Ruska,19119
Rakowiecka,18430
Wąska,23795
Wita Stwosza,21435
Księcia Witolda,10230
Kardynała Mieczysława Ledóchowskiego,10751
Malarska,12027
Więzienna,24229
Szczepińska,21829
Odrzańska,14770
Pawła Włodkowica,24516
Plac Jana Pawła II,07122
Jodłowa,07582
Grunwaldzka,06260
Kazimierza Wielkiego,08265
Wybrzeże Ludwika Pasteura,15779
Szewska,21947
Rzeźnicza,19366
Generała Kazimierza Pułaskiego,18095
Franciszka Ksawerego Druckiego-Lubeckiego,29472
Plac Nowy Targ,14536
Plac Maksa Borna,01840
Zachodnia,25305
Władysława Nehringa,14070
Prosta,17547
Jana Ewangelisty Purkyniego,18173
Plac Legionów,10768
Hugona Kołłątaja,09003
Mieszka I,12832
Romana Dmowskiego,03868
Stefana Żeromskiego,26469
Kanonia,07947
Grodzka,06163
Świebodzka,22472
Błogosławionej Edyty Stein,21129
Plac Teatralny,22725
Warzywnicza,23714
Świętego Mikołaja,12885
Świętokrzyska,22552
Czerwonego Krzyża,03434
Krupnicza,10035
Jana Mikulicza-Radeckiego,12908
Stanisława Leszczyńskiego,10878
Edwarda Suchardy,21494
Kazimierza Michalczyka,30002
Tytusa Chałubińskiego,02663
Zdrowa,25948
Jęczmienna,07563
Biskupia,01363
Teatralna,22723
Paulińska,15826
Grabiszyńska,06021
Łąkowa,11596
Ignacego Daszyńskiego,03639
Plac Kościelny,09552
Lubuska,11365
Bernardyńska,01087
Otwarta,15463
Skwierzyńska,20189
Nasypowa,14039
Młodych Techników,13090
Kruszwicka,10045
Sądowa,19581
Pochyła,16570
Ludwika Rydygiera,19216
Jacka Kaczmarskiego,37217
Składowa,20060
Oleśnicka,14975
Kaznodziejska,08272
Kluczborska,08587
Stanisława Worcella,24742
Joachima Lelewela,10793
Alfreda Nobla,14291
Stefana Czarnieckiego,03283
Świętej Elżbiety,04792
Na Niskich Łąkach,13632
Generała Józefa Bema,01014
Sopocka,20582
Henryka Brodatego,06600
Świętej Jadwigi,07014
Plac Katedralny,08203
Plac Orląt Lwowskich,15146
Oskara Minkowskiego,12983
Łazienna,11561
Plac Zgody,26025
Świętego Józefa,07626
Plac Generała Walerego Wróblewskiego,29469
Na Grobli,13600
Okólna,14890
Gabrieli Zapolskiej,25632
Na Szańcach,01014
Strażnicza,21275
Plac Muzealny,13519
Jana Kilińskiego,08435
Plac Solny,20544
Świętej Barbary,00729
Katedralna,08202
Mieszczańska,12825
Gwarna,06415
Bolesława Prusa,17577
Franciszkańska,05151
Plac Tadeusza Kościuszki,09580
Aleksandra Zelwerowicza,25996
Wybrzeże Juliusza Słowackiego,26978
Wojciecha Cybulskiego,03159
Krzywa,10157
Długa,03839
Piaskowa,16033
Lwowska,11467
Michała Bałuckiego,00661
Generała Jana Henryka Dąbrowskiego,03674
Kiełbaśnicza,08384
Rynek,19252
Plac Powstańców Warszawy,17371
Władysława Jagiełły,24494
Wybrzeże Stanisława Wyspiańskiego,25085
Czysta,03513
Trzebnicka,23073
Plac Świętego Krzysztofa,10156
Icchaka Lejba Pereca,15941
Szczęśliwa,21846
Księdza Wincentego Kraińskiego,09776
Rybacka,19142
Nauczycielska,14048
Świętego Marcina,12284
Piastowska,16046
Pomorska,17088
Dobra,03928
Aleja Jana Matejki,12486
Księcia Józefa Poniatowskiego,17113
Nowowiejska,14495
Muzealna,13518
Podwórcowa,16889
Nowa,14330
Mikołaja Sępa-Szarzyńskiego,19733
Zaułek Wolski,25801
Zygmunta Janiszewskiego,07170
Stanisława Więckowskiego,24227
Wojciecha Bogusławskiego,01608
Inowrocławska,06907
Plac Franciszkański,05152
Komuny Paryskiej,09101
Igielna,06856
Łęczycka,11607
Zaporoska,25637
Generała Karola Kniaziewicza,08662
Krawiecka,09894
Plac Wolności,24685
Michała Wrocławczyka,24805
Wilhelma Roentgena,18739
Świętej Katarzyny,08199
Świętego Idziego,06849
Bolesława Chrobrego,01742
Adama Mickiewicza,12740
Barycka,00836
Mennicza,12609
Ksawerego Liskego,29478
Plac Rozjezdny,18948
Świętego Antoniego,00351
Plac Konstytucji 3 Maja,09211
Ofiar Oświęcimskich,14797
Kaszubska,08183
Mikołaja Reja,18565
Nowy Świat,14535
Marii Curie-Skłodowskiej,03148
Plac Solidarności,20530
Łaciarska,11487
Zgodna,26023
Szczytnicka,21883
Podwale,16874
Juliana Ursyna Niemcewicza,14177
Józefa Rostafińskiego,18884
Ołbińska,15032
Stawowa,21101
Andrzeja Frycza-Modrzewskiego,05193
Środkowa,22419
Plac Uniwersytecki,23376
Ignacego Łukasiewicza,11749
Robotnicza,18695
Dobrzyńska,03995
Henryka Pobożnego,06602
Sukiennice,21539
Fryderyka Joliot-Curie,07591
Jana Żiżki,26472
Stanisława Dubois,04337
Władysława Łokietka,11653
Widok,24011
Świętej Doroty,04132
Kolejowa,08828
Benedyktyńska,01023
Karola Szajnochy,21728
Miła,12947
Eugeniusza Gepperta,05457
Sokolnicza,20491
Gdańska,05431
Plac Świętego Macieja,11834
Ścinawska,22302
Walecznych,23527
Ładna,11490
Księdza Piotra Skargi,20010
Marszałka Józefa Piłsudskiego,16274
Nożownicza,14540
Przejście Garncarskie,17703
Plac Icchaka Lejba Pereca,15940
Kotlarska,09613
Odona Bujwida,02385
Rozbrat,18932
Kuźnicza,10527
Trzemeska,23091
Kardynała Bolesława Kominka,09062
Henryka Probusa,06604
Wincentego Stysia,21486
Litomska,11225
Myśliwska,13563
Plac Strzelecki,21384
Swobodna,21625
Przeskok,17763
Drzewna,04308
Tadeusza Rejtana,18575
Iwana Pawłowa,15865
Franklina Delano Roosevelta,18857
Staromłyńska,20958
Generała Władysława Sikorskiego,19907
Kapitulna,07983
Wyspa Tamka,22623
Powstańców Śląskich,17366
Zyndrama z Maszkowic,26352
Pszenna,18049
Garbary,05321
Łukasza Górnickiego,05961
Tadeusza Zielińskiego,21625
Kardynała Stefana Wyszyńskiego,25107
Wszystkich Świętych,24895
Józefa Marii Hoene-Wrońskiego,06685
Kurzy Targ,10482
Cypriana Kamila Norwida,14319
Dworcowa,04434
